"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         161,      -3.923883217,      -1.516849647,       -1.87657058,      0.8137279387
          0,           0,         162,      -3.928177453,      -1.520417477,      -1.890629933,      0.8137586985
          0,           0,         163,      -3.925732958,       -1.52070906,      -1.887003739,      0.8313937475
          0,           0,         164,      -3.928008749,      -1.521572403,      -1.897859776,      0.8526217919
          0,           0,         165,      -3.924239348,      -1.519244693,      -1.894689857,      0.8714418676
          0,           0,         166,       -3.92565526,       -1.51732512,      -1.896815053,      0.8951071178
          0,           0,         167,      -3.922845645,      -1.511970786,      -1.890313138,      0.9113983412
          0,           0,         168,      -3.925602969,        -1.5091087,      -1.885433249,      0.9254511057
          0,           0,         169,      -3.924493152,      -1.501586939,      -1.872693528,      0.9270861582
          0,           0,         170,      -3.925892985,       -1.49950367,      -1.869707144,      0.9343121951
          0,           0,         171,      -3.921345846,      -1.492146521,      -1.853291085,      0.9195008767
          0,           0,         172,      -3.920745536,      -1.492447612,      -1.855394579,      0.9081232242
          0,           0,         173,      -3.916622004,       -1.48916924,      -1.841716377,      0.8874353118
          0,           0,         174,      -3.918581298,       -1.49243973,      -1.847253791,       0.856942904
          0,           0,         175,      -3.913987023,       -1.48966157,      -1.834773161,      0.8487488954
          0,           0,         176,       -3.91787152,      -1.493574692,      -1.842433167,      0.8187151572
          0,           0,         177,      -3.916274736,       -1.49246144,      -1.835289059,      0.8215611236
          0,           0,         178,      -3.921025026,      -1.495769932,      -1.846886265,      0.8133781531
          0,           0,         179,      -3.922005313,       -1.49615612,      -1.843784744,       0.820488447
          0,           0,         180,      -3.926519211,       -1.49871547,      -1.856872221,      0.8285015233
          0,           0,         181,      -3.928140538,      -1.499094806,      -1.853803607,      0.8411497288
          0,           0,         182,      -3.932600399,      -1.500731401,      -1.866178219,      0.8557528107
          0,           0,         183,      -3.934528628,       -1.50038365,      -1.861204734,      0.8651971099
          0,           0,         184,      -3.938212472,      -1.500636298,      -1.872110731,      0.8829359335
          0,           0,         185,      -3.938595453,      -1.498652372,      -1.863660582,      0.8897457344
          0,           0,         186,      -3.940444751,      -1.498130979,      -1.869423436,      0.9060543839
          0,           0,         187,      -3.936361608,      -1.492229878,      -1.852606451,      0.9088661638
          0,           0,         188,      -3.936944438,      -1.491771277,      -1.851159062,      0.9185080919
          0,           0,         189,       -3.93045493,      -1.482934891,      -1.828420565,      0.9109242757
          0,           0,         190,      -3.931263293,       -1.48437162,      -1.827080675,      0.9157455408
          0,           0,         191,        -3.9228265,      -1.475197871,      -1.804207461,      0.8951352849
          0,           0,         192,      -3.925597309,      -1.478189276,      -1.807832428,      0.8824560179
          0,           0,         193,       -3.92056138,      -1.474150022,      -1.792174654,      0.8636972122
          0,           0,         194,      -3.926211376,      -1.478153114,      -1.803586609,      0.8617936009
          0,           0,         195,      -3.922980157,      -1.477266191,      -1.792994072,      0.8568639114
          0,           0,         196,      -3.918991448,       -1.47775625,      -1.777080862,      0.9141548429
          0,           0,         197,       -3.93302218,      -1.484521021,      -1.807839814,       0.836687677
          0,           0,         198,      -3.931402799,      -1.485012115,      -1.800976544,      0.8490912706
          0,           0,         199,      -3.939615124,      -1.489853076,       -1.81820071,      0.8315412535
          0,           0,         200,      -3.940834461,      -1.490933725,      -1.812718577,      0.8388589422
          0,           0,         201,      -3.941085163,      -1.493658155,      -1.799724052,      0.8870514371
          0,           0,         202,       -3.95241701,      -1.498189684,      -1.833538033,      0.8271209213
          0,           0,         203,      -3.953947533,      -1.499025122,      -1.829449628,      0.8409592611
          0,           0,         204,      -3.959007508,      -1.501937365,      -1.846217845,      0.8576908719
          0,           0,         205,        -3.9595368,      -1.500530643,      -1.840119358,      0.8582340687
          0,           0,         206,       -3.96182199,      -1.501378411,      -1.851844745,      0.8839465167
          0,           0,         207,      -3.961422104,      -1.498972763,      -1.843789164,       0.876156841
          0,           0,         208,      -3.962568147,      -1.498659498,      -1.850555606,      0.8957740707
          0,           0,         209,      -3.958818323,      -1.493832875,      -1.833240668,      0.8882235391
          0,           0,         210,      -3.959739474,      -1.494463985,      -1.833377069,      0.8900299104
          0,           0,         211,      -3.950764774,      -1.484589863,      -1.803104741,      0.8842803202
          0,           0,         212,      -3.951462217,      -1.485586004,      -1.804914674,      0.8858922096
          0,           0,         213,      -3.942121924,      -1.475048643,        -1.7792253,      0.8827003579
